,LocID,AP_NAME,CITY,STATE,Latitude,Longitude,Airport,Year,Departure_Cancellations,Arrival_Cancellations,Departure_Diversions,Arrival_Diversions,departures_for_metric_computation,arrivals_for_metric_computation,percent_on_time_gatedepartures,percent_on_time_airport_departures,percent_on_time_gate_arrivals,average_gate_departure_delay,average_taxi_out_time,average_taxi_out_delay,average_airport_departure_delay,average_airborne_delay,average_taxi_indelay,average_block_delay,average_gate_arrival_delay
0,SJU,LUIS MUNOZ MARIN INTL,SAN JUAN,PR,18.439295,-66.002004,SJU,2004.0,330.0,289.0,55.0,28.0,60371.0,56735.0,0.8019,0.7794,0.7984,11.19,13.84,2.27,12.43,1.88,0.79,3.39,12.28
1,SJU,LUIS MUNOZ MARIN INTL,SAN JUAN,PR,18.439295,-66.002004,SJU,2004.0,330.0,289.0,55.0,28.0,57736.0,54870.0,0.7789,0.7464,0.7604,12.74,14.14,3.03,14.43,1.63,1.36,4.04,14.65
2,SJU,LUIS MUNOZ MARIN INTL,SAN JUAN,PR,18.439295,-66.002004,SJU,2004.0,330.0,289.0,55.0,28.0,55707.0,52948.0,0.8054,0.7446,0.7611,11.61,15.75,4.28,14.34,1.73,1.29,4.19,14.17
3,SJU,LUIS MUNOZ MARIN INTL,SAN JUAN,PR,18.439295,-66.002004,SJU,2004.0,330.0,289.0,55.0,28.0,47987.0,47246.0,0.8014,0.7522,0.7414,12.53,15.22,3.16,14.97,1.55,1.71,4.09,16.31
4,SJU,LUIS MUNOZ MARIN INTL,SAN JUAN,PR,18.439295,-66.002004,SJU,2004.0,330.0,289.0,55.0,28.0,44493.0,43448.0,0.8004,0.781,0.7533,12.54,14.22,1.85,13.59,1.64,1.25,3.75,15.18
5,SJU,LUIS MUNOZ MARIN INTL,SAN JUAN,PR,18.439295,-66.002004,SJU,2004.0,330.0,289.0,55.0,28.0,48418.0,46678.0,0.8168,0.8015,0.7999,11.44,13.29,1.43,12.28,1.22,0.95,2.88,11.77
6,SJU,LUIS MUNOZ MARIN INTL,SAN JUAN,PR,18.439295,-66.002004,SJU,2004.0,330.0,289.0,55.0,28.0,47314.0,45781.0,0.7967,0.7815,0.7719,12.21,13.04,1.39,13.0,1.65,1.32,3.53,13.4
7,SJU,LUIS MUNOZ MARIN INTL,SAN JUAN,PR,18.439295,-66.002004,SJU,2004.0,330.0,289.0,55.0,28.0,42803.0,42401.0,0.8179,0.7934,0.7899,10.86,13.23,1.96,12.07,1.45,1.57,3.67,12.28
8,SJU,LUIS MUNOZ MARIN INTL,SAN JUAN,PR,18.439295,-66.002004,SJU,2004.0,330.0,289.0,55.0,28.0,44716.0,43985.0,0.8417,0.8228,0.8181,9.55,13.15,1.82,10.55,1.41,1.33,2.89,10.64
9,SJU,LUIS MUNOZ MARIN INTL,SAN JUAN,PR,18.439295,-66.002004,SJU,2004.0,330.0,289.0,55.0,28.0,42902.0,42175.0,0.8058,0.7808,0.784,12.31,13.56,2.2,13.52,1.78,1.41,2.86,12.96
